@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,parameters_affected,reasoning
.AnnotationRecord,1000,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2015-08-12 01:00:00+00:00,2015-08-14 02:00:00+00:00,Unusual drop in conductivity values.,False,knuth@marine.rutgers.edu,suspect,"[3648, 194, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,3836,CE04OSBP,LJ01C,09-PCO2WB104,,,2015-10-20 03:00:00+00:00,2015-10-28 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3861,CE04OSBP,LJ01C,10-PHSEND107,,,2015-11-26 12:00:00+00:00,2015-11-27 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3862,CE04OSBP,LJ01C,10-PHSEND107,,,2015-12-02 21:00:00+00:00,2015-12-04 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3863,CE04OSBP,LJ01C,10-PHSEND107,,,2015-12-06 15:00:00+00:00,2015-12-21 10:01:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3837,CE04OSBP,LJ01C,09-PCO2WB104,,,2015-12-28 06:00:00+00:00,2016-01-04 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3838,CE04OSBP,LJ01C,09-PCO2WB104,,,2016-02-27 18:00:00+00:00,2016-02-29 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3839,CE04OSBP,LJ01C,09-PCO2WB104,,,2016-04-14 21:00:00+00:00,2016-04-25 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3840,CE04OSBP,LJ01C,09-PCO2WB104,,,2016-06-14 18:00:00+00:00,2016-06-15 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3841,CE04OSBP,LJ01C,09-PCO2WB104,,,2016-06-30 00:00:00+00:00,2016-07-25 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3864,CE04OSBP,LJ01C,10-PHSEND107,,,2016-12-22 03:00:00+00:00,2016-12-23 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3842,CE04OSBP,LJ01C,09-PCO2WB104,,,2016-12-22 03:00:00+00:00,2016-12-23 12:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3865,CE04OSBP,LJ01C,10-PHSEND107,,,2017-01-09 21:00:00+00:00,2017-01-11 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3843,CE04OSBP,LJ01C,09-PCO2WB104,,,2017-01-09 21:00:00+00:00,2017-01-11 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3866,CE04OSBP,LJ01C,10-PHSEND107,,,2017-02-15 18:00:00+00:00,2017-02-16 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3844,CE04OSBP,LJ01C,09-PCO2WB104,,,2017-02-15 18:00:00+00:00,2017-02-17 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3845,CE04OSBP,LJ01C,09-PCO2WB104,,,2017-03-04 21:00:00+00:00,2017-03-06 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3867,CE04OSBP,LJ01C,10-PHSEND107,,,2017-03-31 21:00:00+00:00,2017-08-10 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3846,CE04OSBP,LJ01C,09-PCO2WB104,,,2017-08-04 03:00:00+00:00,2017-08-05 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,4353,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2017-08-10 19:22:00+00:00,2020-08-18 01:24:00+00:00,"Analog output from the optodes is produced by using a digital to analog converter (DAC). DAC configuration was initially only done at power up or reset, but firmware version 4.6.4 began updating configuration each time the analog output value was updated to ensure long-term continuous operation. Unfortunately, this also produced a voltage jump, creating erratic noise in the output data. The firmware has been corrected, but only the onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1 product; 'ctd_tc_oxygen') and DO from Onboard Calculation - Corrected (L2 product; 'dissolved_oxygen')] should be used during this annotated time range, NOT the 'DO from Phase' data which contain the noisy analog signal.",False,m.vardaro@gmail.com,suspect,"[8109, 8110]",['corrected_dissolved_oxygen'],Optode DAC firmware noise in phase-derived DO; onboard product spliced in (see DO_SPLICE_WINDOWS).
.AnnotationRecord,3868,CE04OSBP,LJ01C,10-PHSEND107,,,2017-11-12 03:00:00+00:00,2019-07-04 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3847,CE04OSBP,LJ01C,09-PCO2WB104,,,2018-03-11 00:00:00+00:00,2018-03-12 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3848,CE04OSBP,LJ01C,09-PCO2WB104,,,2018-08-22 21:00:00+00:00,2018-08-31 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3849,CE04OSBP,LJ01C,09-PCO2WB104,,,2018-09-13 18:00:00+00:00,2018-09-14 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3850,CE04OSBP,LJ01C,09-PCO2WB104,,,2018-09-28 06:00:00+00:00,2018-10-11 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3851,CE04OSBP,LJ01C,09-PCO2WB104,,,2018-10-18 12:00:00+00:00,2018-10-19 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3852,CE04OSBP,LJ01C,09-PCO2WB104,,,2019-06-19 06:00:00+00:00,2019-06-26 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3853,CE04OSBP,LJ01C,09-PCO2WB104,,,2019-07-26 15:00:00+00:00,2019-07-30 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3869,CE04OSBP,LJ01C,10-PHSEND107,,,2019-08-13 00:00:00+00:00,2019-08-14 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3870,CE04OSBP,LJ01C,10-PHSEND107,,,2019-08-20 15:00:00+00:00,2019-08-31 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3871,CE04OSBP,LJ01C,10-PHSEND107,,,2019-10-01 12:00:00+00:00,2019-10-05 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3854,CE04OSBP,LJ01C,09-PCO2WB104,,,2020-05-09 09:00:00+00:00,2020-06-01 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3855,CE04OSBP,LJ01C,09-PCO2WB104,,,2021-08-23 10:54:00+00:00,2021-09-02 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3872,CE04OSBP,LJ01C,10-PHSEND107,,,2021-09-08 06:00:00+00:00,2021-09-11 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3856,CE04OSBP,LJ01C,09-PCO2WB104,,,2021-09-08 06:00:00+00:00,2021-09-13 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,4666,CE04OSBP,LJ01C,06-CTDBPO108,,,2021-11-05 23:59:00+00:00,2022-08-19 06:13:00+00:00,"Conductivity values following the shutdown for the DAS experiment were anomalously low. A ground fault was detected on this unit just after deployment, but investigation regarding the ultimate cause is ongoing. Any parameters that rely on conductivity (salinity, density, etc.) should be used with caution.",False,m.vardaro@gmail.com,suspect,[],"['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']",Anomalously low conductivity after DAS shutdown; conductivity-derived params suspect.
.AnnotationRecord,4667,CE04OSBP,LJ01C,10-PHSEND107,,,2021-12-30 23:00:00+00:00,2022-08-19 06:01:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,4664,CE04OSBP,LJ01C,09-PCO2WB104,,,2022-06-17 22:05:00+00:00,2022-08-19 06:13:00+00:00,The data from this pCO2 sensor were abnormally low and exhibited a pattern of persistent spikes and fall-offs after the primary node PN01B redeployment. It's possible there was a pump malfunction or other technical issue with the instrument following power restoration. Use these data with caution.,False,m.vardaro@gmail.com,suspect,[],['pco2_seawater'],Abnormally low pCO2 with persistent spikes/fall-offs after redeployment.
.AnnotationRecord,4665,CE04OSBP,LJ01C,09-PCO2WB104,,,2022-08-20 03:05:00+00:00,2022-08-26 22:05:00+00:00,"Immediately following deployment of the BEP, the pCO2 values spiked and then slowly declined towards normal values. Investigation is ongoing, but data from this early deployment time period should be used with caution.",False,m.vardaro@gmail.com,suspect,[],['pco2_seawater'],pCO2 spike then slow decline immediately following BEP deployment.
.AnnotationRecord,4700,CE04OSBP,LJ01C,06-CTDBPO108,,,2023-04-08 01:08:43+00:00,2023-04-09 08:18:23+00:00,A 24h drop in conductivity followed by a return to previous values indicates a potential clog in the conductivity cell that then cleared on its own. Conductivity (and all conductivity-derived data) during this time range is suspect.,False,m.vardaro@gmail.com,suspect,[],"['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,5330,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2023-12-28 16:16:40+00:00,2024-04-17 13:28:04+00:00,"We observed an unusually sudden and persistent drop in conductivity values that lasted from December to April. This could be related to several high ground fault warnings, or the conductivity cell may have been clogged with sediment. Any parameters that rely on conductivity (salinity, density, etc.) should be used with caution during this time period.",False,m.vardaro@gmail.com,suspect,"[3648, 194, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,5711,CE04OSBP,LJ01C,10-PHSEND107,,,2024-07-01 16:00:00+00:00,2024-08-22 15:10:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,6242,CE04OSBP,LJ01C,10-PHSEND107,streamed,,2025-03-04 12:00:00+00:00,2025-04-03 20:00:00+00:00,HITL review and automated quality assessments found unusually noisy data during this time period. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,suspect,[],['ph_seawater'],HITL review found unusually noisy data during this period.
.AnnotationRecord,6394,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2025-04-14 10:36:32+00:00,2025-06-29 13:41:48+00:00,"We observed an unusual and sudden drop in conductivity values, possibly due to a clogged conductivity cell. Any parameters that rely on conductivity (salinity, density, etc.) should be used with caution.",False,m.vardaro@gmail.com,suspect,"[3648, 194, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,6448,CE04OSBP,LJ01C,10-PHSEND107,streamed,,2025-08-29 07:00:00+00:00,,HITL review and automated quality assessments found unusually noisy data during this time period. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,suspect,[],['ph_seawater'],HITL review found unusually noisy data during this period.
.AnnotationRecord,6571,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2025-10-02 15:01:25+00:00,2025-11-01 23:40:00+00:00,"HITL review showed a sudden and persistent drop in conductivity values that could be due to a clogged conductivity cell. Any parameters that rely on conductivity (salinity, density, etc.) should be used with caution during this time period.",False,m.vardaro@gmail.com,suspect,"[3648, 194, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,6635,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2025-11-24 03:00:00+00:00,2025-11-25 10:02:48+00:00,"HITL review and automated quality assessments found an unusual and sudden drop in conductivity values, possibly due to a clogged conductivity cell. Any parameters that rely on conductivity (salinity, density, etc.) should be used with caution.",False,m.vardaro@gmail.com,suspect,"[3648, 194, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,6896,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2026-04-29 14:04:02+00:00,,HITL review and automated quality assessments found persistent and unusual positive salinity drift during this time period. Use these data and associated CTD values with caution.,False,m.vardaro@gmail.com,suspect,"[3648, 194, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']",Persistent positive salinity drift; salinity/density/DO suspect.
